Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.2634296875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.271431875,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.2793978125,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.287381875,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.2952628125,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.303316875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31129875,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.31932375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.3272309375,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.335346875,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3433428125,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.3520646875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.359221875,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.367360625,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.375386875,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.38318375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.3913259375,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.399280625,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.40727875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.41606875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.424031875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4314146875,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4400428125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
0.4473328125,	,0.0,	,0,	,-0.0,	,0.0
