Time,	,Position,	,Error
54282.0,	,38,	,3
54368.0,	,38,	,3
54480.0,	,38,	,3
54568.0,	,38,	,3
54671.0,	,38,	,3
54796.0,	,38,	,3
54899.0,	,38,	,3
55008.0,	,38,	,3
55083.0,	,38,	,3
55212.0,	,38,	,3
55311.0,	,38,	,3
55410.0,	,38,	,3
55492.0,	,38,	,3
55605.0,	,38,	,3
55695.0,	,38,	,3
55803.0,	,38,	,3
55894.0,	,38,	,3
55983.0,	,38,	,3
56103.0,	,38,	,3
56207.0,	,38,	,3
56293.0,	,38,	,3
56421.0,	,38,	,3
56495.0,	,38,	,3
56611.0,	,38,	,3
56692.0,	,38,	,3
56795.0,	,38,	,3
56910.0,	,38,	,3
57003.0,	,38,	,3
57093.0,	,38,	,3
57214.0,	,38,	,3
57317.0,	,38,	,3
57409.0,	,38,	,3
57492.0,	,38,	,3
57608.0,	,38,	,3
57712.0,	,38,	,3
57812.0,	,38,	,3
57871.0,	,38,	,3
57983.0,	,38,	,3
58078.0,	,38,	,3
58164.0,	,38,	,3
58269.0,	,38,	,4
58376.0,	,38,	,4
58478.0,	,38,	,4
58573.0,	,38,	,4
58666.0,	,38,	,4
58795.0,	,38,	,4
58869.0,	,38,	,4
58968.0,	,38,	,4
59079.0,	,38,	,4
59180.0,	,38,	,4
59307.0,	,38,	,4
59391.0,	,38,	,4
59489.0,	,38,	,4
59578.0,	,38,	,4
59669.0,	,38,	,4
59774.0,	,38,	,4
59872.0,	,38,	,4
59978.0,	,38,	,4
60109.0,	,38,	,4
60201.0,	,38,	,4
60294.0,	,38,	,4
60385.0,	,38,	,4
60469.0,	,38,	,4
60573.0,	,38,	,4
60669.0,	,38,	,4
60790.0,	,38,	,4
60878.0,	,38,	,4
60974.0,	,38,	,4
61072.0,	,38,	,4
61181.0,	,38,	,4
61273.0,	,38,	,4
61383.0,	,38,	,5
61476.0,	,38,	,5
61602.0,	,38,	,5
61692.0,	,38,	,5
61780.0,	,38,	,5
61894.0,	,38,	,5
62006.0,	,38,	,5
62092.0,	,38,	,5
62202.0,	,38,	,5
62290.0,	,38,	,5
62388.0,	,38,	,5
62493.0,	,38,	,5
62591.0,	,38,	,5
62692.0,	,38,	,5
62794.0,	,38,	,5
62877.0,	,38,	,5
62973.0,	,38,	,5
63078.0,	,38,	,5
63202.0,	,38,	,5
63281.0,	,38,	,5
63400.0,	,38,	,5
63489.0,	,38,	,5
63607.0,	,38,	,5
63707.0,	,38,	,5
63793.0,	,38,	,6
63891.0,	,38,	,6
64008.0,	,38,	,6
64093.0,	,38,	,6
64206.0,	,38,	,6
64283.0,	,38,	,6
64382.0,	,38,	,6
64473.0,	,38,	,6
64585.0,	,38,	,6
64675.0,	,38,	,6
64784.0,	,38,	,6
64892.0,	,38,	,6
64997.0,	,38,	,6
65069.0,	,38,	,6
65181.0,	,38,	,6
65277.0,	,37,	,6
65375.0,	,37,	,5
65479.0,	,37,	,5
65589.0,	,37,	,5
65687.0,	,37,	,5
65795.0,	,37,	,5
65879.0,	,37,	,6
66005.0,	,37,	,6
66095.0,	,37,	,6
66195.0,	,37,	,6
66280.0,	,37,	,6
66392.0,	,37,	,6
66494.0,	,37,	,6
66602.0,	,37,	,6
66679.0,	,37,	,6
66797.0,	,37,	,6
66900.0,	,37,	,6
66992.0,	,37,	,6
67092.0,	,37,	,6
67193.0,	,37,	,6
67292.0,	,37,	,6
67392.0,	,37,	,6
67491.0,	,37,	,6
67611.0,	,37,	,6
67700.0,	,37,	,7
67799.0,	,37,	,7
67896.0,	,37,	,7
68001.0,	,37,	,7
68108.0,	,37,	,7
68212.0,	,37,	,7
68285.0,	,37,	,7
68403.0,	,37,	,7
68478.0,	,37,	,7
68576.0,	,37,	,7
68690.0,	,37,	,7
68799.0,	,37,	,7
68905.0,	,37,	,7
69000.0,	,37,	,7
69091.0,	,37,	,7
69198.0,	,37,	,7
69279.0,	,37,	,7
69386.0,	,37,	,8
69484.0,	,37,	,8
69598.0,	,37,	,8
69684.0,	,37,	,8
69772.0,	,37,	,8
69869.0,	,37,	,8
69982.0,	,37,	,8
70072.0,	,37,	,8
70169.0,	,37,	,8
70275.0,	,37,	,8
70390.0,	,37,	,8
70476.0,	,37,	,8
70578.0,	,37,	,8
70692.0,	,37,	,8
70798.0,	,37,	,8
70875.0,	,37,	,9
70975.0,	,37,	,9
71073.0,	,37,	,9
71178.0,	,37,	,9
71296.0,	,37,	,9
71399.0,	,37,	,9
71493.0,	,37,	,9
71592.0,	,37,	,9
71677.0,	,36,	,8
71800.0,	,36,	,8
71878.0,	,36,	,8
72013.0,	,36,	,8
72099.0,	,36,	,8
72204.0,	,36,	,8
72293.0,	,36,	,8
72400.0,	,36,	,9
72500.0,	,36,	,9
72604.0,	,36,	,9
72674.0,	,36,	,9
72807.0,	,36,	,9
72895.0,	,36,	,9
72976.0,	,36,	,9
73071.0,	,36,	,9
73215.0,	,35,	,9
73302.0,	,35,	,8
73398.0,	,35,	,8
73501.0,	,35,	,8
73595.0,	,35,	,8
73704.0,	,35,	,8
73798.0,	,35,	,9
73891.0,	,35,	,9
74003.0,	,35,	,9
74078.0,	,34,	,9
74179.0,	,34,	,8
74274.0,	,34,	,8
74387.0,	,34,	,8
74512.0,	,34,	,8
74611.0,	,34,	,8
74694.0,	,34,	,8
74808.0,	,33,	,8
74906.0,	,33,	,7
75007.0,	,33,	,7
75088.0,	,33,	,8
75210.0,	,33,	,8
75297.0,	,33,	,8
75410.0,	,33,	,8
75488.0,	,33,	,8
75607.0,	,33,	,8
75707.0,	,33,	,8
75807.0,	,33,	,8
75893.0,	,33,	,8
75994.0,	,33,	,8
76080.0,	,33,	,8
76181.0,	,33,	,8
76293.0,	,33,	,9
76402.0,	,33,	,9
76471.0,	,32,	,9
76571.0,	,32,	,8
76670.0,	,32,	,8
76804.0,	,32,	,8
76902.0,	,32,	,8
77003.0,	,32,	,8
77106.0,	,32,	,8
77198.0,	,32,	,8
77309.0,	,31,	,7
77408.0,	,31,	,7
77492.0,	,31,	,8
77609.0,	,31,	,8
77702.0,	,31,	,8
77809.0,	,31,	,8
77905.0,	,31,	,8
77998.0,	,31,	,8
78108.0,	,30,	,7
78215.0,	,30,	,7
78304.0,	,30,	,7
78410.0,	,30,	,7
78509.0,	,30,	,7
78613.0,	,30,	,7
78707.0,	,30,	,8
78799.0,	,30,	,8
78912.0,	,29,	,7
79013.0,	,29,	,7
79104.0,	,29,	,7
79207.0,	,29,	,7
79283.0,	,29,	,7
79398.0,	,29,	,7
79494.0,	,29,	,7
79610.0,	,27,	,7
79686.0,	,27,	,5
79792.0,	,27,	,6
79902.0,	,27,	,6
80011.0,	,27,	,6
80110.0,	,27,	,6
80209.0,	,27,	,6
80307.0,	,27,	,6
80409.0,	,26,	,6
80507.0,	,26,	,5
80601.0,	,26,	,5
80706.0,	,26,	,5
80811.0,	,26,	,5
80907.0,	,26,	,6
81012.0,	,26,	,6
81099.0,	,26,	,6
81208.0,	,25,	,6
81314.0,	,25,	,5
81414.0,	,25,	,5
81508.0,	,25,	,5
81605.0,	,25,	,5
81709.0,	,25,	,5
81804.0,	,25,	,5
81901.0,	,25,	,5
82009.0,	,24,	,6
82111.0,	,24,	,5
82213.0,	,24,	,5
82307.0,	,24,	,5
82402.0,	,24,	,5
82497.0,	,24,	,5
82610.0,	,24,	,5
82701.0,	,24,	,5
82805.0,	,24,	,5
82912.0,	,23,	,4
83013.0,	,23,	,4
83106.0,	,23,	,5
83211.0,	,23,	,5
83297.0,	,23,	,5
83416.0,	,23,	,5
83496.0,	,23,	,5
83598.0,	,23,	,5
83685.0,	,22,	,5
83779.0,	,22,	,4
83893.0,	,22,	,4
84001.0,	,22,	,4
84105.0,	,22,	,5
84202.0,	,22,	,5
84308.0,	,22,	,5
84406.0,	,22,	,5
84513.0,	,21,	,4
84614.0,	,21,	,4
84711.0,	,21,	,4
84815.0,	,21,	,4
84911.0,	,21,	,4
85014.0,	,21,	,4
85105.0,	,21,	,5
85199.0,	,21,	,5
85415.0,	,20,	,4
85503.0,	,20,	,4
85615.0,	,20,	,4
85702.0,	,20,	,4
85801.0,	,20,	,4
85883.0,	,20,	,4
85995.0,	,20,	,4
86097.0,	,19,	,3
86209.0,	,19,	,4
86297.0,	,19,	,4
86385.0,	,19,	,4
86492.0,	,19,	,4
86614.0,	,19,	,4
86695.0,	,19,	,4
86811.0,	,18,	,4
86883.0,	,18,	,3
86995.0,	,18,	,3
87106.0,	,18,	,3
87212.0,	,18,	,4
87314.0,	,18,	,4
87413.0,	,18,	,4
87506.0,	,18,	,4
87605.0,	,18,	,4
87686.0,	,18,	,4
87797.0,	,18,	,4
87904.0,	,18,	,4
88013.0,	,18,	,4
88111.0,	,18,	,5
88213.0,	,18,	,5
88307.0,	,18,	,5
88417.0,	,17,	,5
88511.0,	,17,	,4
88617.0,	,17,	,4
88707.0,	,17,	,4
88809.0,	,17,	,4
88910.0,	,17,	,4
89014.0,	,17,	,4
89102.0,	,17,	,5
89204.0,	,17,	,5
89293.0,	,16,	,4
89376.0,	,16,	,4
89494.0,	,16,	,4
89605.0,	,16,	,4
89709.0,	,16,	,4
89805.0,	,16,	,4
89907.0,	,16,	,4
90003.0,	,16,	,5
90100.0,	,16,	,5
90205.0,	,16,	,5
90317.0,	,16,	,5
90405.0,	,16,	,5
90506.0,	,16,	,5
90614.0,	,16,	,5
90701.0,	,16,	,5
90806.0,	,15,	,5
90908.0,	,15,	,4
91018.0,	,15,	,5
91104.0,	,15,	,5
91210.0,	,15,	,5
91312.0,	,15,	,5
91410.0,	,15,	,5
91508.0,	,15,	,5
91606.0,	,15,	,5
91718.0,	,15,	,5
91810.0,	,15,	,5
91896.0,	,15,	,6
92018.0,	,15,	,6
92117.0,	,15,	,6
92205.0,	,15,	,6
92310.0,	,15,	,6
92411.0,	,14,	,6
92515.0,	,14,	,5
92613.0,	,14,	,5
92708.0,	,14,	,5
92810.0,	,14,	,6
92910.0,	,14,	,6
93008.0,	,14,	,6
93106.0,	,14,	,6
93206.0,	,14,	,6
93311.0,	,13,	,5
93404.0,	,13,	,5
93520.0,	,13,	,5
93606.0,	,13,	,5
93711.0,	,13,	,6
93815.0,	,13,	,6
93902.0,	,13,	,6
94005.0,	,13,	,6
94106.0,	,13,	,6
94214.0,	,13,	,6
94305.0,	,13,	,6
94399.0,	,13,	,6
94510.0,	,13,	,6
94612.0,	,13,	,7
94708.0,	,13,	,7
94807.0,	,13,	,7
94914.0,	,12,	,6
95019.0,	,12,	,6
95116.0,	,12,	,6
95210.0,	,12,	,6
95310.0,	,12,	,6
95399.0,	,12,	,6
95506.0,	,12,	,7
95607.0,	,12,	,7
95716.0,	,12,	,7
95810.0,	,12,	,7
95906.0,	,12,	,7
96004.0,	,12,	,7
96110.0,	,12,	,7
96207.0,	,12,	,7
96308.0,	,12,	,7
96407.0,	,12,	,8
96507.0,	,11,	,7
96613.0,	,11,	,7
96714.0,	,11,	,7
96810.0,	,11,	,7
96914.0,	,11,	,7
97007.0,	,11,	,7
97108.0,	,11,	,7
97198.0,	,11,	,7
97310.0,	,10,	,7
97417.0,	,10,	,7
97507.0,	,10,	,7
97613.0,	,10,	,7
97713.0,	,10,	,7
97818.0,	,10,	,7
97909.0,	,10,	,7
98008.0,	,10,	,7
98084.0,	,10,	,7
98197.0,	,10,	,8
98275.0,	,10,	,8
98413.0,	,10,	,8
98501.0,	,10,	,8
98605.0,	,10,	,8
98705.0,	,10,	,8
98810.0,	,9,	,8
98907.0,	,9,	,7
99006.0,	,9,	,7
99101.0,	,9,	,8
99211.0,	,9,	,8
99289.0,	,9,	,8
99385.0,	,9,	,8
99478.0,	,9,	,8
99588.0,	,9,	,8
99680.0,	,8,	,7
99777.0,	,8,	,7
99900.0,	,8,	,7
100007.0,	,8,	,8
100105.0,	,8,	,8
100202.0,	,8,	,8
100286.0,	,8,	,8
100402.0,	,7,	,8
100509.0,	,7,	,7
100603.0,	,7,	,7
100701.0,	,7,	,7
100807.0,	,7,	,7
100912.0,	,7,	,7
101007.0,	,7,	,7
101102.0,	,7,	,7
101204.0,	,7,	,7
101308.0,	,6,	,6
101414.0,	,6,	,6
101499.0,	,6,	,6
101615.0,	,6,	,6
101706.0,	,6,	,7
101809.0,	,6,	,7
101895.0,	,6,	,7
102007.0,	,5,	,7
102107.0,	,5,	,6
102216.0,	,5,	,6
102300.0,	,5,	,6
102416.0,	,5,	,6
102506.0,	,5,	,6
102613.0,	,5,	,7
102698.0,	,5,	,7
102806.0,	,5,	,7
102988.0,	,4,	,6
103090.0,	,4,	,6
103188.0,	,4,	,6
103287.0,	,4,	,6
103383.0,	,4,	,6
103497.0,	,4,	,6
103597.0,	,4,	,7
103685.0,	,3,	,7
103789.0,	,3,	,6
103898.0,	,3,	,6
104010.0,	,3,	,6
104111.0,	,3,	,6
104207.0,	,3,	,6
104301.0,	,3,	,6
104397.0,	,2,	,6
104506.0,	,2,	,6
104601.0,	,2,	,6
104701.0,	,2,	,6
104807.0,	,2,	,6
104905.0,	,2,	,6
105006.0,	,2,	,6
105102.0,	,2,	,6
105200.0,	,1,	,6
105301.0,	,1,	,5
105408.0,	,1,	,6
105501.0,	,1,	,6
105609.0,	,1,	,6
105713.0,	,1,	,6
105808.0,	,1,	,6
